Topic,Country,val,name,url
how to make paper flowers,BTN,1,Bhutan,
how to take pictures of northern lights,ISL,2,Iceland,
how to become good teacher,IND,3,India,https://trends.google.com/trends/explore?q=how%20to%20become%20good%20teacher
how to get twins,KEN,4,Kenya,
how to hack facebook,MMR,5,Myanmar,
how to make carrot oil,NGA,6,Nigeria,
how to handle wife,PAK,7,Pakistan,
how to identify AIDS,LKA,8,Sri Lanka,
how science is trying to help us eat better,ISR,9,Israel,https://trends.google.com/trends/explore?q=how%20science%20is%20trying%20to%20help%20us%20eat%20better
how to make solar system,JAM,10,Jamaica,https://trends.google.com/trends/explore?q=how%20to%20make%20solar%20system
how to make a girl like you,SLB,11,Solomon Islands,https://trends.google.com/trends/explore?q=how%20to%20make%20a%20girl%20like%20you
