Category: All categories

Month,Bitcoin: (United States)
2011-01,<1
2011-02,<1
2011-03,<1
2011-04,<1
2011-05,1
2011-06,3
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,<1
2012-01,1
2012-02,1
2012-03,<1
2012-04,1
2012-05,<1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,3
2013-04,9
2013-05,3
2013-06,2
2013-07,2
2013-08,2
2013-09,2
2013-10,4
2013-11,11
2013-12,14
2014-01,9
2014-02,10
2014-03,7
2014-04,4
2014-05,3
2014-06,3
2014-07,3
2014-08,3
2014-09,3
2014-10,3
2014-11,3
2014-12,3
2015-01,3
2015-02,3
2015-03,3
2015-04,2
2015-05,2
2015-06,3
2015-07,3
2015-08,3
2015-09,2
2015-10,2
2015-11,3
2015-12,3
2016-01,3
2016-02,3
2016-03,3
2016-04,2
2016-05,3
2016-06,4
2016-07,3
2016-08,3
2016-09,3
2016-10,3
2016-11,3
2016-12,4
2017-01,5
2017-02,5
2017-03,6
2017-04,5
2017-05,12
2017-06,13
2017-07,10
2017-08,17
2017-09,16
2017-10,17
2017-11,40
2017-12,100
2018-01,51
2018-02,35
2018-03,20
