Week,Bitcoin: (United States)
1/3/2016,3
1/10/2016,2
1/17/2016,2
1/24/2016,2
1/31/2016,2
2/7/2016,2
2/14/2016,3
2/21/2016,2
2/28/2016,2
3/6/2016,2
3/13/2016,2
3/20/2016,2
3/27/2016,2
4/3/2016,2
4/10/2016,2
4/17/2016,2
4/24/2016,2
5/1/2016,3
5/8/2016,2
5/15/2016,2
5/22/2016,2
5/29/2016,3
6/5/2016,3
6/12/2016,4
6/19/2016,4
6/26/2016,3
7/3/2016,3
7/10/2016,3
7/17/2016,2
7/24/2016,2
7/31/2016,3
8/7/2016,2
8/14/2016,2
8/21/2016,2
8/28/2016,2
9/4/2016,2
9/11/2016,2
9/18/2016,2
9/25/2016,2
10/2/2016,2
10/9/2016,2
10/16/2016,2
10/23/2016,2
10/30/2016,3
11/6/2016,3
11/13/2016,2
11/20/2016,2
11/27/2016,2
12/4/2016,3
12/11/2016,2
12/18/2016,3
12/25/2016,4
1/1/2017,6
1/8/2017,4
1/15/2017,3
1/22/2017,3
1/29/2017,3
2/5/2017,4
2/12/2017,3
2/19/2017,4
2/26/2017,5
3/5/2017,5
3/12/2017,5
3/19/2017,4
3/26/2017,3
4/2/2017,4
4/9/2017,4
4/16/2017,3
4/23/2017,4
4/30/2017,6
5/7/2017,8
5/14/2017,8
5/21/2017,17
5/28/2017,10
6/4/2017,10
6/11/2017,11
6/18/2017,9
6/25/2017,8
7/2/2017,7
7/9/2017,7
7/16/2017,9
7/23/2017,9
7/30/2017,13
8/6/2017,12
8/13/2017,16
8/20/2017,12
8/27/2017,13
9/3/2017,13
9/10/2017,15
9/17/2017,11
9/24/2017,9
10/1/2017,9
10/8/2017,13
10/15/2017,15
10/22/2017,15
10/29/2017,21
11/5/2017,23
11/12/2017,25
11/19/2017,22
11/26/2017,61
12/3/2017,90
12/10/2017,84
12/17/2017,100
12/24/2017,58
12/31/2017,42
1/7/2018,41
1/14/2018,51
1/21/2018,33
1/28/2018,35
2/4/2018,43
2/11/2018,23
2/18/2018,20
2/25/2018,15
